Temperature (C)	Pressure (bar)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
140.00	3.6154	51.408	0.019452	588.77	589.16	1.7392	3.5694	4.2826	1486.2	-0.015126	196.54	0.68330	0.050856	0.10917	9.1599	2549.6	2733.4	6.9293	1.7002	2.3109	489.82	4.3033	13.647	0.030140
145.00	4.1568	51.158	0.019547	610.19	610.64	1.7907	3.5461	4.2944	1476.3	-0.014731	189.25	0.68278	0.049803	0.12447	8.0341	2554.4	2739.8	6.8826	1.7243	2.3510	491.59	4.0969	13.819	0.030858
150.00	4.7616	50.902	0.019646	631.66	632.18	1.8418	3.5232	4.3071	1465.8	-0.014320	182.46	0.68204	0.048741	0.14144	7.0701	2559.1	2745.9	6.8371	1.7497	2.3939	493.26	3.9028	13.992	0.031595
155.00	5.4350	50.639	0.019747	653.19	653.79	1.8924	3.5008	4.3207	1454.8	-0.013891	176.14	0.68110	0.047670	0.16022	6.2416	2563.5	2751.8	6.7926	1.7764	2.4396	494.83	3.7200	14.164	0.032353
160.00	6.1823	50.371	0.019853	674.79	675.47	1.9426	3.4788	4.3354	1443.2	-0.013443	170.24	0.67996	0.046591	0.18094	5.5268	2567.8	2757.4	6.7491	1.8044	2.4883	496.29	3.5474	14.337	0.033131
165.00	7.0093	50.097	0.019961	696.46	697.24	1.9923	3.4572	4.3510	1431.1	-0.012973	164.72	0.67861	0.045503	0.20375	4.9079	2571.9	2762.8	6.7066	1.8337	2.5398	497.65	3.3841	14.509	0.033929
170.00	7.9219	49.816	0.020074	718.20	719.08	2.0417	3.4360	4.3678	1418.5	-0.012481	159.55	0.67705	0.044406	0.22882	4.3703	2575.7	2767.9	6.6650	1.8640	2.5944	498.89	3.2295	14.681	0.034748
175.00	8.9260	49.529	0.020190	740.02	741.02	2.0906	3.4152	4.3858	1405.4	-0.011965	154.70	0.67529	0.043302	0.25629	3.9018	2579.4	2772.7	6.6241	1.8955	2.6521	500.02	3.0830	14.853	0.035588
180.00	10.028	49.236	0.020310	761.92	763.05	2.1392	3.3949	4.4050	1391.7	-0.011422	150.14	0.67332	0.042190	0.28636	3.4921	2582.8	2777.2	6.5840	1.9279	2.7129	501.04	2.9440	15.025	0.036449
185.00	11.235	48.936	0.020435	783.91	785.19	2.1875	3.3750	4.4255	1377.5	-0.010850	145.84	0.67114	0.041071	0.31920	3.1329	2586.0	2781.4	6.5447	1.9613	2.7769	501.94	2.8123	15.198	0.037331
190.00	12.552	48.630	0.020564	806.00	807.43	2.2355	3.3556	4.4474	1362.9	-0.010248	141.78	0.66875	0.039945	0.35500	2.8169	2589.0	2785.3	6.5059	1.9956	2.8443	502.72	2.6873	15.370	0.038236
195.00	13.988	48.316	0.020697	828.18	829.79	2.2832	3.3365	4.4708	1347.7	-0.0096133	137.95	0.66614	0.038813	0.39398	2.5382	2591.7	2788.8	6.4678	2.0307	2.9151	503.39	2.5688	15.542	0.039163
200.00	15.549	47.996	0.020835	850.47	852.27	2.3305	3.3179	4.4958	1332.1	-0.0089421	134.32	0.66331	0.037675	0.43635	2.2917	2594.2	2792.0	6.4302	2.0666	2.9895	503.92	2.4564	15.715	0.040113
205.00	17.243	47.668	0.020978	872.87	874.88	2.3777	3.2998	4.5226	1315.9	-0.0082318	130.87	0.66026	0.036530	0.48236	2.0732	2596.4	2794.8	6.3930	2.1032	3.0679	504.33	2.3498	15.888	0.041088
210.00	19.077	47.333	0.021127	895.39	897.63	2.4245	3.2820	4.5512	1299.3	-0.0074792	127.60	0.65697	0.035381	0.53224	1.8788	2598.3	2797.3	6.3563	2.1405	3.1503	504.61	2.2487	16.061	0.042088
215.00	21.058	46.990	0.021281	918.04	920.53	2.4712	3.2647	4.5818	1282.1	-0.0066805	124.49	0.65343	0.034226	0.58628	1.7057	2599.9	2799.3	6.3200	2.1785	3.2372	504.76	2.1529	16.236	0.043114
220.00	23.196	46.639	0.021441	940.82	943.58	2.5177	3.2479	4.6146	1264.5	-0.0058314	121.52	0.64965	0.033067	0.64475	1.5510	2601.2	2800.9	6.2840	2.2172	3.3289	504.77	2.0620	16.411	0.044170
225.00	25.497	46.280	0.021608	963.74	966.80	2.5640	3.2315	4.6498	1246.4	-0.0049275	118.68	0.64561	0.031903	0.70798	1.4125	2602.2	2802.1	6.2483	2.2566	3.4258	504.63	1.9758	16.587	0.045256
230.00	27.971	45.912	0.021781	986.81	990.19	2.6101	3.2155	4.6876	1227.8	-0.0039634	115.96	0.64131	0.030736	0.77630	1.2882	2602.9	2802.9	6.2128	2.2968	3.5285	504.35	1.8940	16.765	0.046375
